position	count
1	21
2	30
3	30
4	40
5	40
6	47
7	122
8	143
9	145
10	149
11	168
12	170
13	171
14	171
15	172
16	172
17	288
18	288
19	509
20	512
21	552
22	556
23	558
24	559
25	563
26	570
27	576
28	580
29	613
30	637
31	655
32	672
33	678
34	691
35	691
36	701
37	754
38	761
39	762
40	766
41	770
42	772
43	777
44	780
45	784
46	787
47	924
48	926
49	926
50	931
51	933
52	934
53	940
54	946
55	979
56	982
57	976
58	981
59	1005
60	1013
61	1025
62	1025
63	1031
64	1028
65	1033
66	1070
67	1090
68	1100
69	1100
70	1119
71	1126
72	1130
73	1185
74	1187
75	1186
76	1186
77	1186
78	1193
79	1193
80	1191
81	1193
82	1191
83	1191
84	1192
85	1192
86	1196
87	1204
88	1207
89	1213
90	1216
91	1231
92	1232
93	1232
94	1237
95	1232
96	1241
97	1238
98	1235
99	1237
100	1250
101	1247
102	1249
103	1250
104	1263
105	1325
106	1327
107	1327
108	1325
109	1325
110	1327
111	1331
112	1357
113	1357
114	1335
115	1327
116	1327
117	1331
118	1329
119	1315
120	1315
121	1269
122	1269
123	1270
124	1272
125	1272
126	1270
127	1271
128	1272
129	1272
130	1272
131	1270
132	1270
133	1258
134	1263
135	1263
136	1263
137	1264
138	1264
139	1264
140	1264
141	1268
142	1272
143	1256
144	1190
145	1172
146	1172
147	1172
148	1176
149	1176
150	1176
151	1136
152	1132
153	1134
154	1137
155	1131
156	1129
157	1123
158	1123
159	1123
160	1121
161	1115
162	1115
163	1104
164	550
165	550
166	550
167	548
168	525
169	512
170	1064
171	1081
172	1080
173	1046
174	1050
175	1044
176	1058
177	1054
178	1082
179	1110
180	1119
181	1131
182	1147
183	1163
184	1167
185	1163
186	1175
187	1178
188	1198
189	1212
190	1228
191	1263
192	1265
193	1289
194	1312
195	1304
196	1305
197	1319
198	1327
199	1345
200	1334
201	1348
202	1366
203	1397
204	1398
205	1400
206	1402
207	1415
208	1411
209	1630
210	1653
211	1768
212	1774
213	1787
214	1793
215	1794
216	1837
217	1840
218	1846
219	1841
220	1727
221	1741
222	1784
223	1790
224	1797
225	1821
226	1877
227	1889
228	1889
229	1892
230	1891
231	1891
232	1894
233	1893
234	1887
235	1868
236	1866
237	1862
238	1863
239	1858
240	1867
241	1868
242	1879
243	1868
244	1865
245	1827
246	1829
247	1827
248	1822
249	1820
250	1801
251	1799
252	1772
253	1769
254	1756
255	1755
256	1750
257	1749
258	1731
259	1731
260	1728
261	1712
262	1711
263	1711
264	1709
265	1709
266	1706
267	1706
268	1659
269	1651
270	1647
271	1651
272	1647
273	1649
274	1650
275	1625
276	1625
277	1625
278	1584
279	1567
280	1566
281	1535
282	1533
283	1521
284	1519
285	1515
286	1513
287	1511
288	1461
289	1421
290	1418
291	1410
292	1412
293	1412
294	1421
295	1454
296	1454
297	1450
298	1452
299	1450
300	1458
301	1471
302	1475
303	1469
304	1466
305	1480
306	1482
307	1503
308	1500
309	1502
310	1502
311	1493
312	1483
313	1479
314	1515
315	1519
316	1530
317	1558
318	1560
319	1562
320	1560
321	1563
322	1562
323	1562
324	1533
325	1522
326	1527
327	1489
328	1505
329	1505
330	1486
331	1529
332	1546
333	1553
334	1548
335	1546
336	1546
337	1544
338	1547
339	1687
340	1674
341	1637
342	1665
343	1664
344	1673
345	1673
346	1690
347	1690
348	1530
349	1530
350	1530
351	1536
352	1548
353	1544
354	1548
355	1539
356	1539
357	1538
358	1542
359	1542
360	1548
361	1545
362	1542
363	1546
364	1546
365	1552
366	1552
367	1550
368	1553
369	1552
370	1575
371	1575
372	1575
373	1575
374	1568
375	1572
376	1572
377	1570
378	1569
379	1574
380	1574
381	1570
382	1568
383	1558
384	1553
385	1555
386	1543
387	1542
388	1523
389	1539
390	1537
391	1535
392	1535
393	1535
394	1554
395	1554
396	1558
397	1560
398	1524
399	1512
400	1497
401	1496
402	1498
403	1455
404	1457
405	1443
406	1445
407	1446
408	1440
409	1440
410	1434
411	1434
412	1438
413	1438
414	1441
415	1440
416	1443
417	1442
418	1457
419	1456
420	1415
421	1368
422	1359
423	1321
424	1342
425	1338
426	1331
427	1320
428	1276
429	1272
430	1269
431	1247
432	1247
433	1194
434	1105
435	1104
436	1103
437	1096
438	1101
439	1093
440	968
441	1084
442	1081
443	1080
444	1082
445	1084
446	1081
447	1072
448	1017
449	1025
450	1024
451	1024
452	1017
453	978
454	978
455	981
456	981
457	976
458	942
459	956
460	971
461	969
462	1008
463	1000
464	1556
465	1574
